-0.031332,-0.38888,0.34332
-0.035755,-0.39019,0.33947
-0.040184,-0.3915,0.33562
-0.044623,-0.39278,0.33173
-0.049077,-0.39401,0.32782
-0.053551,-0.3952,0.32385
-0.058048,-0.39631,0.31982
-0.06257,-0.39736,0.31573
-0.06712,-0.39831,0.31156
-0.071699,-0.39918,0.30731
-0.07631,-0.39994,0.30297
-0.080953,-0.40059,0.29852
-0.08563,-0.40113,0.29397
-0.090342,-0.40155,0.28931
-0.09509,-0.40184,0.28453
-0.099874,-0.402,0.27963
-0.10469,-0.40203,0.2746
-0.10954,-0.40192,0.26944
-0.11442,-0.40166,0.26415
-0.11933,-0.40124,0.25874
-0.12425,-0.40068,0.2532
-0.12918,-0.39995,0.24755
-0.13411,-0.39905,0.2418
-0.13904,-0.39799,0.23594
-0.14395,-0.39675,0.23
-0.14883,-0.39534,0.22398
-0.15367,-0.39375,0.2179
-0.15846,-0.39198,0.21176
-0.16319,-0.39003,0.20557
-0.16786,-0.38789,0.19935
-0.17246,-0.38558,0.19311
-0.17698,-0.38308,0.18685
-0.18141,-0.38041,0.18059
-0.18575,-0.37756,0.17434
-0.18999,-0.37453,0.1681
-0.19414,-0.37133,0.16189
-0.19818,-0.36796,0.15573
-0.20212,-0.36443,0.14961
-0.20596,-0.36074,0.14356
-0.20969,-0.3569,0.13758
-0.2133,-0.35291,0.13169
-0.2168,-0.34879,0.1259
-0.22019,-0.34455,0.12021
-0.22345,-0.3402,0.11465
-0.22658,-0.33576,0.10921
-0.22958,-0.33125,0.10391
-0.23245,-0.32669,0.098765
-0.23517,-0.3221,0.093773
-0.23775,-0.31749,0.088945
-0.24018,-0.31288,0.084285
-0.24247,-0.30829,0.079795
-0.24461,-0.30373,0.075478
-0.2466,-0.29921,0.07133
-0.24846,-0.29474,0.06735
-0.25018,-0.29032,0.06353
-0.25177,-0.28595,0.059865
-0.25325,-0.28163,0.056346
-0.25462,-0.27736,0.052964
-0.25588,-0.27314,0.049712
-0.25705,-0.26896,0.04658
-0.25814,-0.26482,0.043563
-0.25914,-0.26073,0.040656
-0.26006,-0.25668,0.037854
-0.26092,-0.25269,0.035156
-0.26171,-0.24876,0.032562
-0.26243,-0.24489,0.030073
-0.26309,-0.24111,0.02769
-0.2637,-0.23741,0.025416
-0.26425,-0.23381,0.023253
-0.26475,-0.23032,0.021203
-0.2652,-0.22694,0.019268
-0.2656,-0.22368,0.017448
-0.26596,-0.22055,0.015744
-0.26628,-0.21755,0.014155
-0.26657,-0.21468,0.012679
-0.26682,-0.21193,0.011315
-0.26706,-0.20931,0.010059
-0.26727,-0.20681,0.0089077
-0.26746,-0.20443,0.0078573
-0.26764,-0.20214,0.006903
-0.26781,-0.19995,0.0060396
-0.26799,-0.19783,0.0052615
-0.26816,-0.19578,0.0045633
-0.26834,-0.19377,0.0039392
-0.26854,-0.1918,0.0033839
-0.26875,-0.18986,0.0028921
-0.26897,-0.18793,0.0024588
-0.26921,-0.18601,0.0020795
-0.26946,-0.18411,0.0017494
-0.26973,-0.18222,0.0014642
-0.27,-0.18037,0.0012191
-0.27028,-0.17856,0.0010091
-0.27056,-0.17681,0.00082882
-0.27082,-0.17514,0.00067246
-0.27108,-0.17355,0.00053366
-0.27131,-0.17205,0.00040569
-0.27151,-0.17065,0.00028154
-0.27169,-0.16935,0.00015411
-0.27184,-0.16815,1.6434e-05
-0.27196,-0.16703,-0.00013802
-0.27204,-0.16598,-0.00031513
-0.2721,-0.16498,-0.00051983
-0.27214,-0.16402,-0.00075588
-0.27214,-0.16308,-0.0010257
-0.27213,-0.16216,-0.0013302
-0.27211,-0.16122,-0.001669
-0.27206,-0.16028,-0.00204
-0.27201,-0.15932,-0.00244
-0.27195,-0.15835,-0.0028646
-0.27188,-0.15736,-0.0033085
-0.2718,-0.15636,-0.0037656
-0.27173,-0.15535,-0.0042295
