150,54,113,103,-0.671642,26.000000
150,54,116,108,-0.676471,26.000000
151,52,112,117,-0.731343,28.000000
149,50,86,108,-0.742857,30.000000
149,50,81,111,-0.742857,30.000000
154,47,80,116,-0.627119,35.000000
151,44,82,121,-0.508772,37.000000
148,47,81,126,-0.672131,35.000000
148,47,80,131,-0.672131,35.000000
151,44,82,136,-0.438596,37.000000
150,43,87,139,-0.381818,39.000000
148,44,88,144,-0.392857,37.000000
147,44,91,149,-0.368421,38.000000
148,44,92,154,-0.403509,37.000000
148,46,97,156,-0.272727,34.000000
148,47,118,137,-0.272727,33.000000
148,47,123,141,-0.272727,33.000000
148,43,153,142,0.056604,36.000000
148,43,158,143,0.018868,36.000000
147,43,163,146,0.056604,36.000000
151,44,183,130,0.207547,33.000000
149,44,191,125,0.423077,32.000000
149,45,190,120,0.423077,32.000000
156,56,182,109,0.527273,22.000000
159,51,204,107,0.525424,26.000000
159,50,211,108,0.661017,24.000000
159,46,217,108,0.728814,27.000000
159,44,243,109,0.758621,30.000000
159,43,249,105,0.793103,33.000000
160,42,271,105,0.758621,37.000000
158,42,274,110,0.745455,34.000000
157,43,266,112,0.745455,31.000000
158,43,262,116,0.750000,32.000000
158,45,243,118,0.719298,30.000000
156,44,239,122,0.518519,32.000000
158,45,228,124,0.454545,32.000000
156,44,226,129,0.333333,32.000000
155,44,223,134,0.296296,33.000000
155,44,222,141,0.309091,33.000000
157,43,259,143,0.518519,37.000000
156,40,303,147,0.555556,41.000000
156,40,303,153,0.555556,41.000000
153,40,302,160,0.471698,41.000000
156,40,280,164,0.407407,42.000000
155,40,277,169,0.433962,41.000000
154,41,264,186,0.283019,47.000000
154,41,268,205,0.320755,45.000000
154,41,272,199,0.320755,45.000000
154,41,274,205,0.269231,45.000000
155,41,229,197,0.192308,45.000000
155,41,223,196,0.192308,45.000000
154,41,221,190,0.192308,43.000000
153,41,215,169,0.207547,41.000000
153,41,212,175,0.207547,41.000000
153,41,213,170,0.245283,42.000000
153,42,204,158,0.245283,39.000000
154,43,189,138,0.222222,38.000000
153,42,190,133,0.259259,38.000000
153,40,189,139,0.058824,41.000000
155,41,185,158,0.076923,40.000000
155,41,180,161,0.076923,41.000000
154,41,178,167,0.098039,41.000000
154,41,177,174,0.038462,45.000000
154,41,179,179,-0.019608,48.000000
155,41,185,185,0.019608,48.000000
155,41,183,191,0.019608,47.000000
155,41,177,196,0.000000,47.000000
155,41,175,201,0.019608,47.000000
160,41,129,201,-0.137255,47.000000
157,41,124,204,-0.169811,45.000000
157,42,130,171,-0.115385,41.000000
157,42,134,175,-0.153846,40.000000
158,43,138,171,-0.153846,38.000000
157,43,149,158,-0.115385,37.000000
157,43,145,153,-0.153846,37.000000
157,43,143,148,-0.207547,38.000000
160,42,103,160,-0.358491,41.000000
159,42,101,165,-0.320755,41.000000
160,41,102,170,-0.346154,42.000000
158,41,85,183,-0.346154,44.000000
157,41,85,189,-0.307692,43.000000
157,41,81,193,-0.320755,44.000000
158,41,76,197,-0.346154,44.000000
158,41,40,188,-0.433962,44.000000
158,41,36,192,-0.433962,44.000000
158,41,31,194,-0.471698,45.000000
159,41,25,195,-0.509434,45.000000
158,41,5,190,-0.518519,45.000000
158,41,3,195,-0.518519,45.000000
158,41,0,136,-0.785714,44.000000
158,41,0,142,-0.785714,44.000000
157,41,0,136,-0.754386,43.000000
158,42,4,127,-0.803279,41.000000
158,41,7,122,-0.809524,44.000000
157,42,10,117,-0.809524,42.000000
157,42,14,113,-0.841270,40.000000
158,43,30,109,-0.812500,39.000000
158,43,35,110,-0.812500,39.000000
159,43,36,115,-0.838710,40.000000
159,42,40,119,-0.803279,41.000000
159,43,41,124,-0.796610,42.000000
158,43,36,127,-0.762712,42.000000
159,43,31,131,-0.762712,41.000000
159,42,30,136,-0.766667,41.000000
159,42,34,140,-0.642857,43.000000
158,44,51,138,-0.614035,40.000000
159,44,56,141,-0.714286,39.000000
159,41,59,146,-0.518519,45.000000
158,41,59,152,-0.500000,44.000000
158,41,64,153,-0.500000,43.000000
158,42,66,158,-0.500000,43.000000
159,43,67,153,-0.527273,40.000000
159,46,78,139,-0.636364,36.000000
159,46,83,137,-0.527273,38.000000
159,43,87,143,-0.407407,40.000000
159,44,96,144,-0.407407,39.000000
159,47,100,140,-0.527273,36.000000
159,47,102,135,-0.535714,35.000000
158,47,100,130,-0.508772,35.000000
160,48,98,125,-0.733333,33.000000
158,48,98,119,-0.714286,32.000000
157,50,100,114,-0.718750,30.000000
155,51,110,110,-0.731343,29.000000
157,46,81,106,-0.757576,33.000000
158,44,76,107,-0.784615,35.000000
158,43,53,110,-0.777778,37.000000
158,43,48,114,-0.746032,36.000000
157,44,50,109,-0.753846,36.000000
