0.396211,0.049995,0.017178,0.088498,0.087648,0.000100,0.000100,0.089884,0.020288,0.039296,0.090165,0.052471,0.068065,0.000100
0.030235,0.290511,0.089446,0.082919,0.006273,0.000100,0.113724,0.019871,0.068257,0.050786,0.040077,0.089088,0.052057,0.066655
0.000100,0.110742,0.409481,0.028468,0.211923,0.000124,0.017366,0.027409,0.000100,0.086974,0.028091,0.011650,0.067473,0.000101
0.024230,0.083098,0.032297,0.504133,0.003772,0.014083,0.000100,0.081622,0.058039,0.000100,0.098374,0.040988,0.000100,0.059064
0.071190,0.000457,0.000100,0.015677,0.515765,0.099770,0.000100,0.072261,0.086235,0.009051,0.000248,0.059096,0.069950,0.000100
0.044270,0.048447,0.006424,0.051694,0.142796,0.436847,0.006283,0.050627,0.041453,0.008900,0.095682,0.006286,0.052429,0.007861
0.051397,0.063887,0.088994,0.066152,0.046478,0.046472,0.225438,0.049941,0.046603,0.056841,0.059499,0.068674,0.048032,0.081592
0.000100,0.011166,0.000100,0.000100,0.085937,0.000100,0.000100,0.000100,0.892280,0.000100,0.007524,0.000100,0.002192,0.000100
0.000100,0.032869,0.000100,0.000638,0.045166,0.005281,0.000100,0.266261,0.064366,0.000100,0.000100,0.060606,0.000101,0.524211
0.037470,0.027597,0.121851,0.003546,0.048832,0.045286,0.043765,0.091409,0.100128,0.312608,0.070263,0.000100,0.082389,0.014757
0.000100,0.019132,0.820163,0.000100,0.001481,0.000100,0.013729,0.005434,0.000101,0.015516,0.000492,0.000100,0.123453,0.000100
0.048427,0.050979,0.135705,0.046309,0.011286,0.000100,0.000100,0.038518,0.038395,0.093128,0.033153,0.499240,0.004559,0.000100
0.036059,0.091979,0.156011,0.000100,0.067176,0.000100,0.000100,0.019885,0.000232,0.095289,0.060155,0.062465,0.339830,0.070619
0.000100,0.000104,0.000100,0.998682,0.000100,0.000100,0.000112,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.000102
