-0.244921,-0.062229,0.223079,0.000000,0.000000,0.000000,1.732904,0.445647,-2.847932
-0.245528,-0.063495,0.221265,-0.020233,-0.042200,-0.060467,1.728787,0.437676,-2.852273
-0.246126,-0.064386,0.219062,-0.019933,-0.029700,-0.073433,1.721841,0.427845,-2.854921
-0.246676,-0.065091,0.216741,-0.018333,-0.023500,-0.077367,1.713327,0.417373,-2.856125
-0.247344,-0.066845,0.214752,-0.022267,-0.058467,-0.066300,1.709101,0.408679,-2.862858
-0.247726,-0.067425,0.212999,-0.012733,-0.019333,-0.058433,1.702842,0.400769,-2.863744
-0.248144,-0.068231,0.211130,-0.013933,-0.026867,-0.062300,1.697767,0.392469,-2.865705
-0.248493,-0.068870,0.209524,-0.011633,-0.021300,-0.053533,1.692841,0.385306,-2.867446
-0.248769,-0.068998,0.207712,-0.009200,-0.004267,-0.060400,1.684960,0.377001,-2.866350
-0.249180,-0.069846,0.205698,-0.013700,-0.028267,-0.067133,1.680179,0.368151,-2.869053
-0.249560,-0.070692,0.203757,-0.012667,-0.028200,-0.064700,1.672635,0.359329,-2.871045
-0.249961,-0.071857,0.201902,-0.013367,-0.038833,-0.061833,1.666861,0.351047,-2.874767
-0.250337,-0.073076,0.200372,-0.012533,-0.040633,-0.051000,1.662211,0.344150,-2.878932
-0.250471,-0.073468,0.198835,-0.004467,-0.013067,-0.051233,1.655865,0.337409,-2.879188
-0.251374,-0.074866,0.196829,-0.030100,-0.046600,-0.066867,1.653063,0.326990,-2.884828
-0.254228,-0.076439,0.192756,-0.095133,-0.052433,-0.135767,1.652722,0.302043,-2.892966
-0.256903,-0.077143,0.188393,-0.089167,-0.023467,-0.145433,1.649006,0.275738,-2.896549
-0.259571,-0.078907,0.184139,-0.088933,-0.058800,-0.141800,1.649466,0.250790,-2.905432
-0.261989,-0.079906,0.179510,-0.080600,-0.033300,-0.154300,1.643730,0.224351,-2.910629
-0.264371,-0.081549,0.174931,-0.079400,-0.054767,-0.152633,1.640323,0.198654,-2.918714
-0.266642,-0.083351,0.170451,-0.075700,-0.060067,-0.149333,1.637691,0.173519,-2.926583
-0.268718,-0.084775,0.166353,-0.069200,-0.047467,-0.136600,1.634600,0.150460,-2.933499
-0.270733,-0.086664,0.162421,-0.067167,-0.062967,-0.131067,1.632410,0.128864,-2.943929
-0.272605,-0.088685,0.158692,-0.062400,-0.067367,-0.124300,1.628137,0.108714,-2.955926
-0.274326,-0.090005,0.154578,-0.057367,-0.044000,-0.137133,1.619187,0.086600,-2.963786
-0.275934,-0.092375,0.150751,-0.053600,-0.079000,-0.127567,1.614662,0.066335,-2.975172
-0.277464,-0.094253,0.146411,-0.051000,-0.062600,-0.144667,1.608477,0.043755,-2.984109
-0.278785,-0.096716,0.141707,-0.044033,-0.082100,-0.156800,1.601586,0.020046,-2.994407
-0.280079,-0.100039,0.136943,-0.043133,-0.110767,-0.158800,1.596366,-0.004043,-3.007178
-0.281071,-0.102086,0.132497,-0.033067,-0.068233,-0.148200,1.588669,-0.026543,-3.014488
-0.281982,-0.104414,0.128125,-0.030367,-0.077600,-0.145733,1.583536,-0.048456,-3.022955
-0.282693,-0.106704,0.124010,-0.023700,-0.076333,-0.137167,1.577209,-0.068917,-3.031123
-0.283361,-0.108605,0.119958,-0.022267,-0.063367,-0.135067,1.571004,-0.089170,-3.037920
-0.283888,-0.111242,0.116327,-0.017567,-0.087900,-0.121033,1.566450,-0.107130,-3.047577
-0.284336,-0.113353,0.112634,-0.014933,-0.070367,-0.123100,1.559311,-0.125541,-3.055064
-0.284530,-0.115037,0.108821,-0.006467,-0.056133,-0.127100,1.551682,-0.143859,-3.060881
-0.284602,-0.117441,0.105936,-0.002400,-0.080133,-0.096167,1.545680,-0.157691,-3.069437
-0.284958,-0.120739,0.103649,-0.011867,-0.109933,-0.076233,1.543751,-0.169590,-3.081833
-0.285155,-0.121607,0.100802,-0.006567,-0.028933,-0.094900,1.538047,-0.183680,-3.084979
-0.285297,-0.123152,0.099120,-0.004733,-0.051500,-0.056067,1.533330,-0.192397,-3.090573
-0.285542,-0.124870,0.097501,-0.008167,-0.057267,-0.053967,1.532531,-0.200856,-3.097212
-0.285873,-0.126174,0.095866,-0.011033,-0.043467,-0.054500,1.530712,-0.209745,-3.102300
-0.286013,-0.127896,0.094466,-0.004667,-0.057400,-0.046667,1.528152,-0.217086,-3.108903
-0.285978,-0.129624,0.092453,0.001167,-0.057600,-0.067100,1.530005,-0.227763,-3.112355
-0.285955,-0.130650,0.090144,0.000767,-0.034200,-0.076967,1.530920,-0.239999,-3.112911
-0.285884,-0.132052,0.087691,0.002367,-0.046733,-0.081767,1.530953,-0.252678,-3.115644
-0.285723,-0.134280,0.085763,0.005367,-0.074267,-0.064267,1.536864,-0.263197,-3.119659
-0.285539,-0.135137,0.084032,0.006133,-0.028567,-0.057700,1.534677,-0.272074,-3.120918
-0.285186,-0.137033,0.081494,0.011767,-0.063200,-0.084600,1.529210,-0.284461,-3.127004
-0.284654,-0.139225,0.078701,0.017733,-0.073067,-0.093100,1.531905,-0.299257,-3.129344
-0.284082,-0.141729,0.076499,0.019067,-0.083467,-0.073400,1.540083,-0.312196,-3.107414
-0.283720,-0.144049,0.074931,0.012067,-0.077333,-0.052267,1.545217,-0.321694,-3.230929
-0.283462,-0.145908,0.073425,0.008600,-0.061967,-0.050200,1.543746,-0.330218,-2.740356
-0.283430,-0.148428,0.072297,0.001067,-0.084000,-0.037600,1.543214,-0.336761,2.738729
