0.432878,0.023496,0.074986,0.076910,0.029009,0.118115,0.023503,0.023496,0.023496,0.072589,0.023497,0.028707,0.023496,0.025820
0.000100,0.394137,0.142713,0.000100,0.000100,0.035682,0.185464,0.047142,0.087006,0.000100,0.107156,0.000100,0.000100,0.000100
0.000100,0.073013,0.667681,0.000100,0.000100,0.114179,0.000100,0.000100,0.000111,0.000100,0.144117,0.000100,0.000100,0.000100
0.127381,0.051040,0.056197,0.220875,0.051040,0.068896,0.051040,0.051040,0.051040,0.051484,0.051042,0.065370,0.051040,0.052516
0.048700,0.044611,0.062320,0.051553,0.203704,0.062231,0.080922,0.044535,0.083300,0.082749,0.066122,0.044529,0.076077,0.048645
0.000100,0.000100,0.025350,0.000100,0.000100,0.187478,0.579619,0.000100,0.000100,0.000100,0.081834,0.000100,0.000100,0.124818
0.021286,0.031270,0.083187,0.021236,0.040668,0.135541,0.298535,0.055733,0.043929,0.084296,0.116855,0.021231,0.022376,0.023857
0.032682,0.147410,0.119688,0.032682,0.047852,0.032701,0.032715,0.268636,0.064826,0.032682,0.032823,0.032682,0.089939,0.032682
0.000100,0.044621,0.075101,0.000100,0.206936,0.000107,0.000100,0.086698,0.535016,0.000108,0.025657,0.000100,0.025256,0.000100
0.042979,0.000100,0.005219,0.098747,0.022867,0.072347,0.045677,0.000100,0.032939,0.357008,0.178195,0.072222,0.001298,0.070303
0.000100,0.278428,0.280837,0.000100,0.000100,0.128225,0.000100,0.000100,0.021066,0.002071,0.266121,0.000100,0.000100,0.022551
0.053762,0.030354,0.030354,0.075905,0.031089,0.109623,0.030355,0.030354,0.030354,0.079466,0.030354,0.405195,0.030354,0.032482
0.027233,0.080164,0.028008,0.027233,0.069778,0.040381,0.071528,0.054323,0.115151,0.033924,0.042270,0.027233,0.355542,0.027233
0.012780,0.015529,0.027804,0.074651,0.015479,0.068967,0.034115,0.010322,0.016673,0.219158,0.267186,0.042530,0.010316,0.184493
